name,address,google_map,route_proximity
Bickerstaffe C of E Primary School,"Hall Lane, Ormskirk, L39 0EH","https://www.google.com/maps/@53.531396549523585,-2.8394423426404267,16z",0
Westhead Lathom St James' Church of England Primary School,"School Lane, Westhead, Ormskirk, L40 6HL","https://www.google.com/maps/@53.561180787135164,-2.8443398385379597,16z",0
Gallions Primary School,"Warwall, London, E6 6WG","https://www.google.com/maps/@51.513458701954065,0.0691787621652889,16z",0
Woodlands School at Hutton Manor,"428 Rayleigh Road, Brentwood, CM13 1SD","https://www.google.com/maps/@51.629704085613604,0.36952026770758367,16z",0
The Priory Church of England Primary School,"Wick Lane, Christchurch, BH23 1HX","https://www.google.com/maps/@50.732160056659794,-1.7780339106164196,16z",0
La Salette Catholic Primary School,"Dunedin Road, Rainham, RM13 8SP","https://www.google.com/maps/@51.52340575935373,0.19041766256647327,16z",0
Holmesdale Community Infant School,"Alma Road, Reigate, RH2 0BY","https://www.google.com/maps/@51.2456425485417,-0.20297565744183424,16z",0
Blackpool Highfurlong Special School,"Blackpool Old Road, Blackpool, FY3 7LR","https://www.google.com/maps/@53.837517410062226,-3.013923227452756,16z",0
Llanrhidian Primary School,"Llanrhidian, SA3 1EH","https://www.google.com/maps/@51.60645119078988,-4.172829543752015,16z",0
Newton Primary School,"New Road, CF36 5BL","https://www.google.com/maps/@51.482036083826195,-3.693671865383292,16z",0
UNKNOWN,,"https://www.google.com/maps/@51.44286938759656,-2.841292354357756,16z",0
Holme Cultram C of E Primary School,"Abbeytown, CA7 4RU","https://www.google.com/maps/@54.844785131968386,-3.2918781477508983,16z",0.382164203
Maldon Court Preparatory School,"10 Silver Street, CM9 4QE","https://www.google.com/maps/@51.73281356951263,0.6758116751264007,16z",0.477055259
Ravenscroft Community Primary School,"Ebony Way, Liverpool, L33 1XT","https://www.google.com/maps/@53.49476546766034,-2.886964814254424,16z",0.728356911
Morecambe Road School,"Morecambe Road, Morecambe, LA3 3AB","https://www.google.com/maps/@54.06181288089746,-2.83354297588742,16z",1.171948824
St Bees School Memorial field,,"https://www.google.com/maps/@54.492695457920156,-3.593110835938228,16z",1.265095664
Broadoak Academy,"Windwhistle Road, BS23 4NP","https://www.google.com/maps/@51.32827566433603,-2.977327281907528,16z",1.338999331
High Clarence Primary,,"https://www.google.com/maps/@54.59105257960502,-1.236498133892274,16z",1.431781698
Mudeford Junior School,BH23 3HP,"https://www.google.com/maps/@50.72634177699485,-1.7383307582889214,16z",1.45351834
St Bede's Catholic College,"Long Cross, Bristol, BS11 0SU","https://www.google.com/maps/@51.50792728402611,-2.6664019602038027,16z",1.454614667
Windwhistle Primary School,"Kingsley Road, Weston-Super-Mare, BS23 3TZ","https://www.google.com/maps/@51.329748693010615,-2.9652121903365476,16z",1.491452084
Uphill Primary School,"Old Church Road, Weston-Super-Mare, BS23 4XH","https://www.google.com/maps/@51.32832854935324,-2.983501224536369,16z",1.782808845
Shawley Community Primary School,"Shawley Way, Epsom, KT18 5PD","https://www.google.com/maps/@51.31063642612204,-0.23180822963763048,16z",1.792557411
All Saints Church of England Primary School,"Axminster, EX13 7LX","https://www.google.com/maps/@50.80578087804463,-2.986426271497887,16z",2.107175871
Broughton-in-Furness C of E Primary School,"Kepplewray, LA20 6BJ","https://www.google.com/maps/@54.28416052737769,-3.2252582565469687,16z",2.163465167
UNKNOWN,,"https://www.google.com/maps/@51.62129596619129,-3.797195034260715,16z",2.277014609
Inaura School,,"https://www.google.com/maps/@51.07132463520245,-2.9212636414505257,16z",2.642756168
Ysgol Gymraeg Croes Atti,"Chester Road, CH6 5DU","https://www.google.com/maps/@53.245539860282406,-3.1259765700224538,16z",2.845026376
Clenchwarton Primary School,,"https://www.google.com/maps/@52.75728873964627,0.3565277036836488,16z",3.003371622
UNKNOWN,,"https://www.google.com/maps/@54.92805848778608,-2.863489956791479,16z",3.173790265
Dame Dorothy Primary School,"Dock Street, Sunderland, SR6 0EA","https://www.google.com/maps/@54.914549272826875,-1.3759314673551009,16z",3.217861069
Ferryside VCP,"Ferryside, Carmarthenshire, SA17 5TB","https://www.google.com/maps/@51.76862384319995,-4.368268429359065,16z",3.289317623
St Peter's London Docks Primary School,"Garnet Street, London, E1W 3QT","https://www.google.com/maps/@51.50579136828394,-0.05558624265473072,16z",3.405998297
St John's Catholic Primary School,"Breck Road, Poulton-le-Fylde, FY6 7HT","https://www.google.com/maps/@53.85179027446493,-2.9856379394238557,16z",3.570411551
Park View School,"Temple Park Road, South Shields, NE34 0QA","https://www.google.com/maps/@54.977136405766615,-1.4286172104456596,16z",3.616175966
Holme St Cuthbert Primary School,"Mawbray, CA15 6QZ","https://www.google.com/maps/@54.81051179834021,-3.3952110703904648,16z",3.680006769
Epsom Primary and Nursery School,"Pound Lane, KT19 8SD","https://www.google.com/maps/@51.34114037099562,-0.26868305090487227,16z",4.05391648
Ysgol Llandwrog,,"https://www.google.com/maps/@53.07879610496324,-4.31299513077182,16z",4.207927989
St Edmund's Catholic School,"299 Westferry Road, London, E14 3RS","https://www.google.com/maps/@51.490953041227336,-0.02270367061627506,16z",4.262488467
Kingsford Community School,"Kingsford Way, London, E6 5JG","https://www.google.com/maps/@51.51331031768849,0.05245545944679833,16z",4.332656712
Ysgol Glan Y Mor,"Ffordd Caerdydd, LL53 5NU","https://www.google.com/maps/@52.88248676434994,-4.419928774906385,16z",4.52992375
St Francis de Sales Catholic Junior School,"Hale Road, Liverpool, L4 3RL","https://www.google.com/maps/@53.442664660613886,-2.9733254214867766,16z",4.622009426
St Francis Catholic Primary School,"West Chase, Maldon,","https://www.google.com/maps/@51.732932348790634,0.6721517328316422,16z",4.70930661
Gedney Church End Primary School,"Church End, Gedney, PE12 0BU","https://www.google.com/maps/@52.79810097578802,0.08038041672188151,16z",5.266961751
Hen Ysgol Llangynfelyn (closed),"Taliesin, Machynlleth, SY20 8JG","https://www.google.com/maps/@52.506479659266944,-3.978221135374511,16z",5.365035521
Yealand C of E Primary School,,"https://www.google.com/maps/@54.17048077788639,-2.761963630209043,16z",5.418239664
St Francis de Sales Catholic Infant and Nursery School,"Margaret Road, Liverpool, L4 3RX","https://www.google.com/maps/@53.44351705858894,-2.9724628766201233,16z",5.451950041
Axe Valley Academy,"Chard Street, Axminster, EX13 5EA","https://www.google.com/maps/@50.782700717246094,-2.99454564415665,16z",5.837279584
Arnhem Wharf Primary School,"1 Arnhem Place, London, E14 3RP","https://www.google.com/maps/@51.495313089388965,-0.02664624382560847,16z",6.604811675
Penny Bridge CE School,"Penny Bridge, LA12 7RQ","https://www.google.com/maps/@54.23549358749322,-3.056177529864765,16z",6.781451833
St John Church of England Primary School,"Pilling, PR3 6HA","https://www.google.com/maps/@53.9317111381886,-2.9103986126062518,16z",7.152394899
Ysgol yr Eifl,,"https://www.google.com/maps/@52.993429700099924,-4.424040494462076,16z",7.296245831
Ursuline Preparatory School,"Old Great Ropers, Brentwood, CM13 3HR","https://www.google.com/maps/@51.600230427584684,0.28903684930552687,16z",7.564930602
St Patrick's Catholic Primary School,"Fort Road, Southampton, SO19 2JE","https://www.google.com/maps/@50.89807448835142,-1.3728211776253543,16z",7.705825278
St George's School,SL4 1QF,"https://www.google.com/maps/@51.485127452910426,-0.6053013084817611,16z",7.72991932
Captain Shaw's CE Primary School,,"https://www.google.com/maps/@54.281868832030504,-3.3723198078061856,16z",7.730597846
Fleet Wood Lane School,"Wood Lane, Spalding, PE12 8NN","https://www.google.com/maps/@52.793993432023655,0.057052487029409425,16z",7.90951781
Dallam School,"Milnthorpe, LA7 7DD","https://www.google.com/maps/@54.22898177828051,-2.7667212326975763,16z",8.219638564
Coatham CE VC Primary School,TS10 1QY,"https://www.google.com/maps/@54.61647908457587,-1.0835392908947252,16z",8.223853972
Westhead Lathom St James' Church of England Primary School,"School Lane, Lancashire, L40 6HL","https://www.google.com/maps/@53.562435916367065,-2.843395423745552,16z",8.234295757
Peppard C of E Primary School,,"https://www.google.com/maps/@51.52916871609918,-0.9766963724276276,16z",8.236731532
St Mary's Church of England VA Primary School,BS20 7TR,"https://www.google.com/maps/@51.4749034965798,-2.7166959969862683,16z",8.257134305
Mudeford Infant School,,"https://www.google.com/maps/@50.7343623836791,-1.7565121595523614,16z",8.780448587
Grosvenor Park Primary School,"Grosvenor Park Primary School, Roeburn Drive, Lancaster, LA3 3RY","https://www.google.com/maps/@54.05828031724686,-2.8275996669746686,16z",8.916610517
The Orchard Infant School,"Bridge Road, East Molesey, KT8 9HT","https://www.google.com/maps/@51.39934471275681,-0.35033220907965607,16z",9.587286798
Bedford Drive Primary School,"Bedford Drive, CH42 6RT","https://www.google.com/maps/@53.369874357749566,-3.0236944606301552,16z",9.73474946
Yarborough Academy,,"https://www.google.com/maps/@53.56362823722824,-0.11553373672751965,16z",10.07966136
UNKNOWN,,"https://www.google.com/maps/@51.60681211565232,-3.8181624960243217,16z",10.36670511
Prenton High School for Girls,"Hesketh Avenue, CH42 6PR","https://www.google.com/maps/@53.36960545711944,-3.0254463233499447,16z",10.36937722
Western Primary School,,"https://www.google.com/maps/@53.54936582806811,-0.0830856673473107,16z",10.99442798
Ysgol Tryfan,"Lôn Powys, LL57 2TY","https://www.google.com/maps/@53.22050816155616,-4.145659347895469,16z",11.10457567
Patcham House Special School,"7 Old London Road, Brighton, BN1 8XR","https://www.google.com/maps/@50.861894862059344,-0.15091313619595192,16z",11.22713391
Llanmiloe C.P. School,"Llanmiloe, Pendine, SA33 4TU","https://www.google.com/maps/@51.75273082707098,-4.52583979219217,16z",11.76061847
Boston Grammar School,"South End, Boston, PE21 6JY","https://www.google.com/maps/@52.97430305961025,-0.01999798891377707,16z",12.13439418
St John's School,"St Johns School, 47-49 Stock Road, Billericay, CM12 0AR","https://www.google.com/maps/@51.63315984260793,0.42268193637350276,16z",12.64829787
UNKNOWN,,"https://www.google.com/maps/@54.69167072669468,-3.518194402567142,16z",12.80251501
The Swedish School,"The Swedish School, 82 Lonsdale Road, London, SW13 9JS","https://www.google.com/maps/@51.48522706937521,-0.24455682876804932,16z",13.31581446
Mayflower High School,,"https://www.google.com/maps/@51.63911064198212,0.4318670493863991,16z",13.47337277
John Frost School,"Lighthouse Road, Newport, NP10 8YD","https://www.google.com/maps/@51.55835265110866,-3.012174594869854,16z",14.93729844
West Huntspill Community Primary School,"New Road, Highbridge, TA9 3QE","https://www.google.com/maps/@51.20888496541733,-2.985226848515885,16z",14.99570959
Heybridge Co-operative Academy Trust,"The Street, Maldon, CM9 4NP","https://www.google.com/maps/@51.740300943872306,0.6898394997201225,16z",15.11112377
Sacred Heart of Mary,,"https://www.google.com/maps/@51.55476277633042,0.24247477823690777,16z",15.79544851
Hambleton Primary Academy,"Church Lane, Poulton-le-Fylde, FY6 9BZ","https://www.google.com/maps/@53.87554355511702,-2.948177621996047,16z",16.37446275
McKee Centre,"73 Breck Road, Poulton-le-Fylde, FY6 7AQ","https://www.google.com/maps/@53.84969281754951,-2.988283806362024,16z",16.73683257
Windlesham School Trust Limited,"190 Dyke Road, Brighton, BN1 5AA","https://www.google.com/maps/@50.83677300486872,-0.15152656888825639,16z",17.31609785
The Pier Head Preparatory Montessori School,"3 Shadwell Pierhead, London, E1W 3TD","https://www.google.com/maps/@51.50827072488708,-0.050010151021552506,16z",17.55072486
Paisley Primary School,"Paisley Primary School, Paisley Street, Hull, HU3 6NJ","https://www.google.com/maps/@53.74564095185872,-0.37545201183294846,16z",17.60467418
Hornsea School and Language College,"Hornsea School and Language College, Eastgate, Hornsea, HU18 1DW","https://www.google.com/maps/@53.91884868522376,-0.17706906356296845,16z",17.75553294
St. Lawrence Church of England Primary School,,"https://www.google.com/maps/@50.93513152940484,-0.17801114337091387,16z",18.10101439
Groundwork South Tyneside & Newcastle,"The Eco Centre, Windmill Way, Hebburn, NE31 1SR","https://www.google.com/maps/@54.98422410336735,-1.5057790599273517,16z",18.45775287
Walpole Cross Keys Primary School,,"https://www.google.com/maps/@52.756293903045695,0.25311143259529,16z",18.51068926
Beam Primary School,,"https://www.google.com/maps/@51.526901442249965,0.16326507237612878,16z",18.57349973
Redbridge Primary School,,"https://www.google.com/maps/@50.920793480533916,-1.4641817831971349,16z",19.40730204
UNKNOWN,,"https://www.google.com/maps/@54.65246543314525,-3.552004549953391,16z",19.90854311
Monteagle Primary School,"Burnham Road, Dagenham, RM9 4RB","https://www.google.com/maps/@51.53530741804926,0.11612825523424844,16z",20.93985271
St James' Church of England Academy,"St James’ C of E Academy, Dorchester Road, Hull, HU7 6BD","https://www.google.com/maps/@53.777336413394444,-0.31593218498255815,16z",21.65010798
Redbridge Community School,"Cuckmere Lane, Southampton, SO16 9RJ","https://www.google.com/maps/@50.921911013526525,-1.4647085263832518,16z",22.38426487
Brighton & Hove High School,"Montpelier Road, Brighton, BN1 3AT","https://www.google.com/maps/@50.82794884248686,-0.15165217003254725,16z",24.79523171
Rufford Church of England Primary School,"Flash Lane, Rufford, L40 1SN","https://www.google.com/maps/@53.634295930657586,-2.8181490733174703,16z",24.92414063
Gelliswick Church in Wales VC Primary School,"Waterloo Road, SA73 3PB","https://www.google.com/maps/@51.71132832679118,-5.048707062570919,16z",24.95533036
Corton C.E. Primary School,"The Street, NR32 5HW","https://www.google.com/maps/@52.51457963420621,1.7464902808301621,16z",25.90047244
SS Peter and Paul RC Voluntary Aided Primary School,"Olive Street, South Shields, NE33 4RD","https://www.google.com/maps/@54.97533160737174,-1.441779412315366,16z",26.21790693
Stoneferry Primary School,"Stoneferry Primary School, 464 Stoneferry Road, Hull, HU7 0BA","https://www.google.com/maps/@53.76718063812899,-0.32673328817759223,16z",26.24668666
Alsop High School,,"https://www.google.com/maps/@53.4459571334047,-2.963962881608756,16z",27.40298019
Marsh Green Primary School,"South Close, Dagenham, RM10 9NJ","https://www.google.com/maps/@51.530720847924314,0.15247616124572522,16z",28.17026998
Gilsland CofE Primary School,"Gilsland, CA8 7AA","https://www.google.com/maps/@54.98920255012122,-2.578318647496458,16z",28.79602884
St Thomas Primary School,,"https://www.google.com/maps/@52.96285995719971,-0.02332352113504534,16z",29.37548881
Well Lane Primary School,"Well Lane, CH42 5PF","https://www.google.com/maps/@53.376394657177926,-3.0194623551286752,16z",30.04781424
Ysgol Gyfun Gymraeg Bro Myrddin,,"https://www.google.com/maps/@51.835243685293136,-4.3071385368442465,16z",30.74418083
The German School,"Petersham Road, TW10 7AH","https://www.google.com/maps/@51.445374102295794,-0.3063483435602119,16z",30.78259249
St Bernadette's Catholic Primary School,"Preston Road, Brighton, BN1 6UT","https://www.google.com/maps/@50.84686549523233,-0.15004844994060726,16z",31.89569272
Poulton-le-Fylde The Breck Primary School,"Fouldrey Avenue, Poulton-le-Fylde, FY6 7HE","https://www.google.com/maps/@53.854496862233326,-2.9809603040157566,16z",32.01060206
Tower Bridge Primary School,,"https://www.google.com/maps/@51.50167300929092,-0.07739204759599344,16z",32.33310947
Ysgol Cei Newydd,"New Quay Primary School, School Lane, New Quay, SA45 9TE","https://www.google.com/maps/@52.210998035196354,-4.358547413595025,16z",32.35417036
St Bees Village School,"Main Street, CA27 0AA","https://www.google.com/maps/@54.49015924464185,-3.588133661611129,16z",32.46200477
Bristol Gateway School,"Long Cross, Bristol, BS11 0QA","https://www.google.com/maps/@51.504077923268085,-2.655689373503421,16z",32.5359767
Aberaeron Primary School,"Wellington Gardens, SA46 0BQ","https://www.google.com/maps/@52.244913962201394,-4.270346200574541,16z",32.80731961
St. Brides Church in Wales Primary School,,"https://www.google.com/maps/@51.47249022044906,-3.5841602939367823,16z",33.11673897
Stock Church Of England Primary School,,"https://www.google.com/maps/@51.664400722059185,0.4415660815593165,16z",33.71619332
"St Mary's Catholic Primary School, Axminster","Lyme Road, Axminster, EX13 5BE","https://www.google.com/maps/@50.78090220273406,-2.9927776158227624,16z",33.96216183
Melling Primary School,"Wheeler Drive, Liverpool, L31 1DA","https://www.google.com/maps/@53.489254831654286,-2.9092076455718314,16z",34.15929842
The Trinity Roman Catholic Primary School,,"https://www.google.com/maps/@53.41985698215805,-2.986949960099881,16z",35.55887482
UNKNOWN,,"https://www.google.com/maps/@53.52564296135295,0.024604438832311476,16z",35.62534373
St Peter's Catholic Primary School,,"https://www.google.com/maps/@51.53192303369263,0.1446350762648642,16z",36.89183302
St John's Primary and Nursery School,"French Street, Southampton, SO14 2AU","https://www.google.com/maps/@50.89747797513151,-1.4050565922646823,16z",37.23333345
The North Primary School,"John Harper Street, Colchester, CO1 1RP","https://www.google.com/maps/@51.895406169218525,0.893952919663858,16z",37.67793126
The Abbey,"Church Street, IP12 1DS","https://www.google.com/maps/@52.09277355754867,1.3139809916999041,16z",37.78590285
Ysgol Gynradd Tywyn,,"https://www.google.com/maps/@51.59003384196529,-3.807768820822171,16z",38.54749094
Gosbecks Primary School,"Owen Ward Close, Colchester, CO2 9DG","https://www.google.com/maps/@51.87258206028658,0.8626178103193112,16z",38.60642723
Boston Pioneers Free School Academy,"Fydell Crescent, Boston, PE21 8SS","https://www.google.com/maps/@52.974817864526315,-0.026140196536158983,16z",38.8134153
Strand Primary Academy,"Strand Street, Grimsby, DN32 7BE","https://www.google.com/maps/@53.57386279228764,-0.06926686102234145,16z",39.10782397
Whitefriars Church of England Primary Academy,"Whitefriars Road, King's Lynn, PE30 5AH","https://www.google.com/maps/@52.747440568954424,0.39818723490414853,16z",39.56401289
Ysgol Bro Idris (Friog),,"https://www.google.com/maps/@52.694863468389585,-4.043702972489431,16z",40.07101721
Whitburn Church of England School,,"https://www.google.com/maps/@54.94897188920357,-1.3636062518167047,16z",40.28735891
Bishop Rawstorne Church Of England Academy,,"https://www.google.com/maps/@53.7249735634451,-2.8877213003282876,16z",40.36402857
Bidbury Infant and Junior Schools,"Fraser Road, PO9 3EF","https://www.google.com/maps/@50.846759242624216,-1.0025082105575038,16z",41.95320067
St Peter's Community Primary School,"St Peter's Road, Brighton, BN41 1LS","https://www.google.com/maps/@50.831198896090555,-0.21528914377388048,16z",42.57498874
Myland Community Primary School,"Mill Road, Colchester, CO4 5LD","https://www.google.com/maps/@51.91359016717157,0.8927568763373956,16z",43.26913076
Blakeney Church of England Voluntary Aided Primary School,"Wiveton Road, NR25 7NJ","https://www.google.com/maps/@52.95116109647382,1.0235986276717495,16z",44.36883229
Reynolds Primary School,,"https://www.google.com/maps/@53.563218343176096,-0.04309545006081687,16z",44.46557487
Oasis Academy Mayfield,"Ashley Crescent, Southampton, SO19 9NA","https://www.google.com/maps/@50.891465238058494,-1.3477757998966815,16z",45.1776544
Westfield House School,"191 Sutton Road, Terrington Saint Clement, PE34 4EX","https://www.google.com/maps/@52.75092221520497,0.27128381541465235,16z",45.76205901
Brancaster Church of England Voluntary Aided Primary School,,"https://www.google.com/maps/@52.96248096041375,0.6406101613204117,16z",46.08865552
St Cuthbert's R.C. Primary School,"Craiglee Drive, Cardiff, CF10 4AB","https://www.google.com/maps/@51.472952650939725,-3.1689086709071947,16z",46.62799627
Dallam School,"Heversham, LA7 7EH","https://www.google.com/maps/@54.24204290751437,-2.7730174694731713,16z",46.82147707
Branfil Primary School,,"https://www.google.com/maps/@51.55124151998107,0.23693053929980554,16z",47.65640949
St Joseph's Roman Catholic Primary School,,"https://www.google.com/maps/@51.24236641199266,-0.17655580240403587,16z",48.18531408
Saint Mary's Roman Catholic Primary School,NR33 0DG,"https://www.google.com/maps/@52.46168896269027,1.739320933256704,16z",48.619138
Hudson Road School and Community Base,,"https://www.google.com/maps/@54.90414031536946,-1.373891976189002,16z",48.72459613
North Denes Primary School,"Jellicoe Road, Great Yarmouth, NR30 4HF","https://www.google.com/maps/@52.62951386847017,1.7356710521593914,16z",49.89755501
UNKNOWN,,"https://www.google.com/maps/@54.53430635927164,-3.598889397430903,16z",50.45546515
Castledyke Primary School,"Castledyke West, Barton Upon Humber, DN18 5AW","https://www.google.com/maps/@53.68733921007653,-0.44615838048017575,16z",51.28969489
St Gregory's RC Voluntary Aided Primary School,"Harton House Road East, South Shields, NE34 6DZ","https://www.google.com/maps/@54.98088926786718,-1.4036191294099096,16z",51.73402615
Hurlingham School,"122 Putney Bridge Road, SW15 2NQ","https://www.google.com/maps/@51.46301722257387,-0.2089597476697612,16z",51.89206443
Caister Academy,"Windsor Road, Great Yarmouth, NR30 5LS","https://www.google.com/maps/@52.65376717236201,1.7293630493390633,16z",53.81567118
Newton Bluecoat Church of England Primary School,"School Lane, Preston, PR4 3RT","https://www.google.com/maps/@53.77050665270156,-2.8322135320480033,16z",53.97304756
Hermitage Primary School,"15 Vaughan Way, London, E1W 2PT","https://www.google.com/maps/@51.5052905965315,-0.06616071710920597,16z",56.08069333
St Mary's Church Of England Primary School,"Burkitt Road, IP12 4JJ","https://www.google.com/maps/@52.09518846944346,1.3056071574570254,16z",56.95895135
Sutton Bridge Westmere Primary School,"Anne Road, Sutton Bridge, PE12 9TB","https://www.google.com/maps/@52.76917620570945,0.17865319585582726,16z",57.09362069
Langshott Primary School,"Smallfield Road, RH6 9AU","https://www.google.com/maps/@51.17362145816359,-0.15462945347771287,16z",57.89890223
Eling Infant School,"School Road, Southampton, SO40 9HX","https://www.google.com/maps/@50.9134170324587,-1.4839227685499001,16z",57.96774432
UNKNOWN,"Newport,","https://www.google.com/maps/@51.55733169382055,-3.010623064834168,16z",58.29734174
Ysgol Abersoch,"Lôn Gwydryn,","https://www.google.com/maps/@52.823732148726165,-4.506531515486088,16z",58.54643981
Broad Oak Primary School,"Pope Lane, Preston, PR1 9DE","https://www.google.com/maps/@53.73556538726682,-2.725040570449306,16z",58.75493508
Pembroke School,SA71 4RL,"https://www.google.com/maps/@51.68533224857008,-4.927208943182843,16z",59.76073384
Ysgol Treferthyr,,"https://www.google.com/maps/@52.91718634285241,-4.233856017123233,16z",60.026085
UNKNOWN,"Newport,","https://www.google.com/maps/@51.557607296223544,-3.0106037205221448,16z",60.47608215
Zetland Primary School,,"https://www.google.com/maps/@54.61571368931249,-1.059203639790655,16z",60.95472184
UNKNOWN,"Newport,","https://www.google.com/maps/@51.55775397000539,-3.0105701974683283,16z",61.13859239
Arnot St. Mary's,,"https://www.google.com/maps/@53.442691356500674,-2.969010980097155,16z",61.95747938
Micklefield School,"10 Somers Road, Reigate, RH2 9DU","https://www.google.com/maps/@51.243266525387504,-0.2066437314050255,16z",62.48831022
UNKNOWN,,"https://www.google.com/maps/@51.38948175895518,-0.3466324842100831,16z",62.5708186
Warton Archbishop Hutton's Primary School,"Back Lane, Carnforth, LA5 9QU","https://www.google.com/maps/@54.14467064963277,-2.767019427465516,16z",63.13277486
Kyson Primary School,"Peterhouse Crescent, IP12 4HX","https://www.google.com/maps/@52.09042923629713,1.2974161251793879,16z",63.48774454
UNKNOWN,"Lighthouse Road,","https://www.google.com/maps/@51.559501445785585,-3.0113703882992984,16z",65.58407436
Neston Primary School,"Burton Road, CH64 9RE","https://www.google.com/maps/@53.286622219383474,-3.0616717990108544,16z",65.77313514
Seven Stars Primary School,"Peacock Hall Road, Leyland, PR25 1TD","https://www.google.com/maps/@53.69738463301908,-2.7039751152864144,16z",68.12827435
Burscough Priory Science College,,"https://www.google.com/maps/@53.601278203832855,-2.844948133655953,16z",69.10974371
Stanhope Primary School,"Gresford Street, South Shields, NE33 4SZ","https://www.google.com/maps/@54.97733577435053,-1.4359954355202469,16z",69.12302313
Shoreham College,"St Julian's Lane, BN43 6YW","https://www.google.com/maps/@50.833326121718784,-0.24583289467232844,16z",69.33834924
